scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
"November 15, 2020",Actualizat în 09.11.2020,84.700,Iasi,Miroslava ,House,Unfurnished,4,N/A,N/A,107 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.11.2020,89.500,Iasi,Lunca Cetatuii ,House,N/A,4,N/A,N/A,114 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,115.000,Iasi,Bucium ,House,Furnished,3,N/A,N/A,90 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 12.11.2020,155.000,Iasi,Copou ,House,Unfurnished,4,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,73.000,Iasi,Miroslava ,House,N/A,4,N/A,N/A,100 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,85.000,Iasi,Valea Adânca ,House,N/A,4,N/A,N/A,106 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.11.2020,100.000,Iasi,Valea Adânca ,House,N/A,4,N/A,N/A,96 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 03.09.2020,109.000,Iasi,,House,N/A,4,N/A,N/A,110 mp,2020 (la gri)
"November 15, 2020",Actualizat în 29.10.2020,264.000,Iasi,Valea Adânca ,House,Furnished,6,N/A,N/A,190 mp,2014
"November 15, 2020",Actualizat ieri,119.000,Iasi,Bucium ,House,N/A,5,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,86.900,Iasi,Miroslava ,House,N/A,4,N/A,N/A,100 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 05.11.2020,85.000,Iasi,Central ,House,N/A,4,N/A,N/A,85 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 13.11.2020,400.000,Iasi,Tatarasi ,House,Furnished,6,N/A,N/A,300 mp,2004
"November 15, 2020",Actualizat ieri,79.000,Iasi,Popas Pacurari ,House,N/A,4,N/A,N/A,105 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 13.11.2020,105.000,Iasi,Bucium ,House,N/A,4,N/A,N/A,100 mp,2019
"November 15, 2020",Actualizat în 09.11.2020,225.000,Iasi,Popas Pacurari ,House,Furnished,6,N/A,N/A,260 mp,2009
"November 15, 2020",Actualizat în 25.06.2020,75.000,Iasi,Central ,House,N/A,N/A,N/A,N/A,115.57 mp,N/A
"November 15, 2020",Actualizat ieri,97.900,Iasi,Miroslava ,House,N/A,4,N/A,N/A,110 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 20.07.2020,380.000,Iasi,Cug ,House,Furnished,5,N/A,N/A,350 mp,2008
"November 15, 2020",Actualizat în 20.10.2020,95.000,Iasi,Central ,House,Furnished,4,N/A,N/A,94 mp,2012
"November 15, 2020",Actualizat în 02.11.2020,95.000,Iasi,Exterior Sud ,House,N/A,4,N/A,N/A,100 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,70.000,Iasi,Miroslava ,House,N/A,4,N/A,N/A,90 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,105.000,Iasi,Bucium ,House,N/A,4,N/A,N/A,100 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,147.000,Iasi,Popas Pacurari ,House,N/A,4,N/A,N/A,135 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.11.2020,82.000,Iasi,Central ,House,N/A,4,N/A,N/A,108 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 29.10.2020,114.900,Iasi,Valea Adânca ,House,N/A,3,N/A,N/A,140 mp,2010
"November 15, 2020",Actualizat în 05.11.2020,77.000,Iasi,Central ,House,Unfurnished,3,N/A,N/A,76 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,72.500,Iasi,Lunca Cetatuii ,House,N/A,3,N/A,N/A,70 mp,2020 (finalizata)
